ds,y,holiday
2012-01-03,1012493.8100000008,0.0
2012-01-04,860053.7300000008,0.0
2012-01-05,940194.9300000005,0.0
2012-01-06,0.0,0.0
2012-01-07,0.0,0.0
2012-01-08,0.0,0.0
2012-01-09,933835.5000000003,0.0
2012-01-10,900077.6100000005,0.0
2012-01-11,773739.73,0.0
2012-01-12,927338.6600000007,0.0
2012-01-13,0.0,0.0
2012-01-14,0.0,0.0
2012-01-15,0.0,0.0
2012-01-16,968646.520000001,1.0
2012-01-17,921105.5600000008,0.0
2012-01-18,850387.4900000002,0.0
2012-01-19,1021175.9000000011,0.0
2012-01-20,0.0,0.0
2012-01-21,0.0,0.0
2012-01-22,0.0,0.0
2012-01-23,985418.4100000004,0.0
2012-01-24,1013018.2900000006,0.0
2012-01-25,764709.3100000004,0.0
2012-01-26,1016554.7900000012,0.0
2012-01-27,796.36,0.0
2012-01-28,0.0,0.0
2012-01-29,0.0,0.0
2012-01-30,986696.5299999999,0.0
2012-01-31,1039951.090000001,0.0
2012-02-01,906994.6600000004,0.0
2012-02-02,1218272.0000000007,0.0
2012-02-03,0.0,0.0
2012-02-04,0.0,0.0
2012-02-05,0.0,0.0
2012-02-06,1165230.550000001,0.0
2012-02-07,1128346.5200000012,0.0
2012-02-08,986933.9100000008,0.0
2012-02-09,1150050.090000001,0.0
2012-02-10,0.0,0.0
2012-02-11,0.0,0.0
2012-02-12,0.0,0.0
2012-02-13,1039052.1500000008,0.0
2012-02-14,1016829.6800000009,0.0
2012-02-15,962829.3100000008,0.0
2012-02-16,1132707.0000000012,0.0
2012-02-17,0.0,0.0
2012-02-18,0.0,0.0
2012-02-19,0.0,0.0
2012-02-20,1135350.790000001,1.0
2012-02-21,1105654.4000000006,0.0
2012-02-22,998421.7200000004,0.0
2012-02-23,1167089.7800000012,0.0
2012-02-24,0.0,0.0
2012-02-25,0.0,0.0
2012-02-26,0.0,0.0
2012-02-27,1070445.6800000006,0.0
2012-02-28,1028812.8300000007,0.0
2012-02-29,903083.0000000003,0.0
2012-03-01,1104030.1000000006,0.0
2012-03-02,0.0,0.0
2012-03-03,0.0,0.0
2012-03-04,0.0,0.0
2012-03-05,1140722.7500000005,0.0
2012-03-06,1169223.920000001,0.0
2012-03-07,835542.5300000008,0.0
2012-03-08,1222264.9500000007,0.0
2012-03-09,2886.2400000000002,0.0
2012-03-10,0.0,0.0
2012-03-11,0.0,0.0
2012-03-12,1179680.4700000011,0.0
2012-03-13,1158657.8900000006,0.0
2012-03-14,977886.0600000008,0.0
2012-03-15,1250720.7700000014,0.0
2012-03-16,1050.84,0.0
2012-03-17,0.0,0.0
2012-03-18,0.0,0.0
2012-03-19,1030487.2800000005,0.0
2012-03-20,1102468.9900000014,0.0
2012-03-21,1046650.1100000008,0.0
2012-03-22,1066902.6700000013,0.0
2012-03-23,0.0,0.0
2012-03-24,0.0,0.0
2012-03-25,0.0,0.0
2012-03-26,1001267.190000001,0.0
2012-03-27,1022503.7700000011,0.0
2012-03-28,821053.920000001,0.0
2012-03-29,1005545.3000000012,0.0
2012-03-30,0.0,0.0
2012-03-31,0.0,0.0
2012-04-01,0.0,0.0
2012-04-02,1142873.5000000005,0.0
