station_id,name,short_name,lat,lon,region_id,rental_methods,capacity,external_id,eightd_has_key_dispenser,has_kiosk,station_geom
584,Webster St at Union St,SF-C20-2,37.7974387,-122.4339891,,"['KEY', 'CREDITCARD']",23,8e8eb1c3-1792-46e7-9c03-eb60e4271a52,false,true,POINT(-122.4339891 37.7974387)
1726583666966036952,Berry St at 4th St Station 2,SF-K29-1B,37.775904,-122.39314,0,"['KEY', 'CREDITCARD']",7,1726583666966036952,false,true,POINT(-122.39314 37.775904)
1716540857410079456,Howard St at Grace St,SF-K24-3,37.7744791,-122.4139142,0,"['KEY', 'CREDITCARD']",13,1716540857410079456,false,true,POINT(-122.4139142 37.7744791)
35e3bf9b-4c65-4f2b-9d46-32afe9fe82d9,Mason St at Halleck St,SF-A15,37.803968,-122.455079,0,"['KEY', 'CREDITCARD']",18,35e3bf9b-4c65-4f2b-9d46-32afe9fe82d9,false,true,POINT(-122.455079 37.803968)
36ecea1d-48aa-416b-96d3-7698658759e5,Irving St at 21st Ave,SF-M8,37.763527084984517,-122.47949242628238,0,"['KEY', 'CREDITCARD']",19,36ecea1d-48aa-416b-96d3-7698658759e5,false,true,POINT(-122.479492426282 37.7635270849845)
492edeb7-7c9f-4845-b5cc-442faedb3a56,13th St at Webster St,OK-L6-2,37.802688402040665,-122.26914636790752,0,"['KEY', 'CREDITCARD']",19,492edeb7-7c9f-4845-b5cc-442faedb3a56,false,true,POINT(-122.269146367908 37.8026884020407)
f665c653-569b-4a5d-b80d-67f2e4191f77,Brockhurst St at San Pablo Ave,OK-H2-2,37.823522790214049,-122.27718830108644,0,"['KEY', 'CREDITCARD']",19,f665c653-569b-4a5d-b80d-67f2e4191f77,false,true,POINT(-122.277188301086 37.8235227902141)
41b2200f-7915-410b-95c6-084bc4d3dee8,Detroit St at Hearst Ave,SF-X16,37.730655429236563,-122.4443047517252,0,"['KEY', 'CREDITCARD']",19,41b2200f-7915-410b-95c6-084bc4d3dee8,false,true,POINT(-122.444304751725 37.7306554292366)
e01b3ae0-0543-484f-9085-bff4af3c174c,North Point St at Grant Ave,SF-A26,37.807171080967379,-122.40927904844284,0,"['KEY', 'CREDITCARD']",19,e01b3ae0-0543-484f-9085-bff4af3c174c,false,true,POINT(-122.409279048443 37.8071710809674)
3e870ef6-b3ee-4e56-9d22-156fdb2f8155,West St at Brockhurst St,OK-H3-2,37.822683859450208,-122.27292420364392,0,"['KEY', 'CREDITCARD']",19,3e870ef6-b3ee-4e56-9d22-156fdb2f8155,false,true,POINT(-122.272924203644 37.8226838594502)
e70c8987-0178-46f2-941f-1fd0eb306ed9,25th Ave at Irving St,SF-M7,37.763443196271972,-122.48355373749293,0,"['KEY', 'CREDITCARD']",19,e70c8987-0178-46f2-941f-1fd0eb306ed9,false,true,POINT(-122.483553737493 37.763443196272)
236c090a-68d6-4e2a-8a93-9d701ec242d9,Allyne Park (Green St at Gough St),SF-C21,37.797249,-122.427457,0,"['KEY', 'CREDITCARD']",19,236c090a-68d6-4e2a-8a93-9d701ec242d9,false,true,POINT(-122.427457 37.797249)
82ad4cff-001f-49a8-88fa-a5a63d64b9a2,Divisadero St at Lombard St,SF-C18,37.799175112634593,-122.44272915651892,0,"['KEY', 'CREDITCARD']",22,82ad4cff-001f-49a8-88fa-a5a63d64b9a2,false,true,POINT(-122.442729156519 37.7991751126346)
