trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code
125740,14765,2013-12-14 17:14:00 UTC,Japantown,9,2013-12-14 21:20:00 UTC,Japantown,9,708,95112
307863,58941,2014-06-02 19:27:00 UTC,Japantown,9,2014-06-03 11:49:00 UTC,Japantown,9,299,95112
126087,661,2013-12-15 11:54:00 UTC,Japantown,9,2013-12-15 12:05:00 UTC,Japantown,9,262,95122
287847,3303,2014-05-16 23:50:00 UTC,Japantown,9,2014-05-17 00:45:00 UTC,Japantown,9,72,95112
920834,3998,2015-09-06 10:55:00 UTC,Japantown,9,2015-09-06 12:01:00 UTC,Japantown,9,643,95122
965329,2318,2015-10-10 11:46:00 UTC,Japantown,9,2015-10-10 12:25:00 UTC,Japantown,9,50,95110
81496,932,2013-11-02 23:05:00 UTC,Japantown,9,2013-11-02 23:21:00 UTC,Japantown,9,153,95112
106152,4168,2013-11-24 09:55:00 UTC,Japantown,9,2013-11-24 11:05:00 UTC,Japantown,9,21,95131
1023243,783,2015-11-29 16:00:00 UTC,Japantown,9,2015-11-29 16:13:00 UTC,Japantown,9,676,95112
9436,92,2013-09-03 08:30:00 UTC,Japantown,9,2013-09-03 08:32:00 UTC,Japantown,9,101,95112
138232,219,2013-12-30 11:15:00 UTC,Japantown,9,2013-12-30 11:19:00 UTC,Japantown,9,672,95122
270641,3879,2014-05-03 15:55:00 UTC,Japantown,9,2014-05-03 17:00:00 UTC,Japantown,9,30,95124
956133,1512,2015-10-03 15:48:00 UTC,Japantown,9,2015-10-03 16:13:00 UTC,Japantown,9,660,95123
1088499,843,2016-02-10 10:35:00 UTC,Japantown,9,2016-02-10 10:49:00 UTC,Japantown,9,37,95110
10885,5503,2013-09-04 16:07:00 UTC,Japantown,9,2013-09-04 17:38:00 UTC,Japantown,9,44,95112
270861,471,2014-05-04 09:13:00 UTC,Japantown,9,2014-05-04 09:21:00 UTC,Japantown,9,658,95122
644303,1372,2015-02-14 12:16:00 UTC,Japantown,9,2015-02-14 12:39:00 UTC,Japantown,9,65,95113
103447,524,2013-11-21 15:52:00 UTC,Japantown,9,2013-11-21 16:00:00 UTC,Japantown,9,88,95112
284893,317,2014-05-15 08:02:00 UTC,Japantown,9,2014-05-15 08:08:00 UTC,Japantown,9,709,95122
5374,405,2013-08-30 11:07:00 UTC,Japantown,9,2013-08-30 11:14:00 UTC,Japantown,9,653,95112
62904,235,2013-10-17 23:15:00 UTC,Japantown,9,2013-10-17 23:19:00 UTC,Japantown,9,99,94086
1268871,3035,2016-07-08 02:41:00 UTC,Japantown,9,2016-07-08 03:31:00 UTC,Japantown,9,145,95121
196047,1063,2014-02-25 18:29:00 UTC,Japantown,9,2014-02-25 18:46:00 UTC,Japantown,9,645,95112
45472,13590,2013-10-04 09:30:00 UTC,Japantown,9,2013-10-04 13:16:00 UTC,Japantown,9,77,95106
792372,4918,2015-06-03 14:22:00 UTC,Japantown,9,2015-06-03 15:43:00 UTC,Japantown,9,55,nil
139472,403,2013-12-31 19:26:00 UTC,Japantown,9,2013-12-31 19:33:00 UTC,Japantown,9,52,95112
588765,3249,2014-12-31 15:31:00 UTC,Japantown,9,2014-12-31 16:25:00 UTC,Japantown,9,702,95112
1093744,4561,2016-02-15 16:50:00 UTC,Japantown,9,2016-02-15 18:06:00 UTC,Japantown,9,117,94070
363633,1361,2014-07-14 23:39:00 UTC,Japantown,9,2014-07-15 00:02:00 UTC,Japantown,9,12,95121
118034,1179,2013-12-06 19:46:00 UTC,Japantown,9,2013-12-06 20:05:00 UTC,Japantown,9,665,95112
276101,433,2014-05-07 21:11:00 UTC,Japantown,9,2014-05-07 21:18:00 UTC,Japantown,9,158,95132
525093,125,2014-11-01 13:14:00 UTC,Japantown,9,2014-11-01 13:16:00 UTC,Japantown,9,230,94110
598721,10867,2015-01-10 11:36:00 UTC,Japantown,9,2015-01-10 14:37:00 UTC,Japantown,9,77,95112
1116278,7409,2016-03-06 15:47:00 UTC,Japantown,9,2016-03-06 17:51:00 UTC,Japantown,9,88,94041
588766,3237,2014-12-31 15:31:00 UTC,Japantown,9,2014-12-31 16:25:00 UTC,Japantown,9,253,95112
4550,163,2013-08-29 13:53:00 UTC,Japantown,9,2013-08-29 13:56:00 UTC,Japantown,9,684,95112
247424,279,2014-04-14 12:26:00 UTC,Japantown,9,2014-04-14 12:31:00 UTC,Japantown,9,124,95122
473194,1379,2014-09-28 18:21:00 UTC,Japantown,9,2014-09-28 18:44:00 UTC,Japantown,9,667,95148
411185,16078,2014-08-15 20:16:00 UTC,Japantown,9,2014-08-16 00:44:00 UTC,Japantown,9,178,91745
514994,1512,2014-10-25 08:35:00 UTC,Japantown,9,2014-10-25 09:00:00 UTC,Japantown,9,221,95122
554369,15653,2014-11-21 19:20:00 UTC,Japantown,9,2014-11-21 23:41:00 UTC,Japantown,9,691,95122
432960,5667,2014-09-01 07:03:00 UTC,Japantown,9,2014-09-01 08:38:00 UTC,Japantown,9,56,95112
1102442,764,2016-02-23 09:38:00 UTC,Japantown,9,2016-02-23 09:50:00 UTC,Japantown,9,223,95109
163424,3813,2014-01-23 13:41:00 UTC,Japantown,9,2014-01-23 14:44:00 UTC,Japantown,9,59,95158
23053,589,2013-09-16 10:42:00 UTC,Japantown,9,2013-09-16 10:52:00 UTC,Japantown,9,24,95112
1296885,1382,2016-07-30 17:39:00 UTC,Japantown,9,2016-07-30 18:02:00 UTC,Japantown,9,185,95126
369841,611,2014-07-18 12:54:00 UTC,Japantown,9,2014-07-18 13:05:00 UTC,Japantown,9,112,95122
191577,607,2014-02-21 09:44:00 UTC,Japantown,9,2014-02-21 09:54:00 UTC,Japantown,9,55,95122
322358,275,2014-06-12 19:13:00 UTC,Japantown,9,2014-06-12 19:17:00 UTC,Japantown,9,299,95112
461911,1231,2014-09-20 07:23:00 UTC,Japantown,9,2014-09-20 07:43:00 UTC,Japantown,9,28,95122
45470,13617,2013-10-04 09:29:00 UTC,Japantown,9,2013-10-04 13:16:00 UTC,Japantown,9,99,95106
938272,1148,2015-09-20 17:43:00 UTC,Japantown,9,2015-09-20 18:02:00 UTC,Japantown,9,676,95112
105356,819,2013-11-23 00:00:00 UTC,Japantown,9,2013-11-23 00:13:00 UTC,Japantown,9,228,96145
212536,872,2014-03-13 12:13:00 UTC,Japantown,9,2014-03-13 12:28:00 UTC,Japantown,9,672,95031
270637,4427,2014-05-03 15:46:00 UTC,Japantown,9,2014-05-03 17:00:00 UTC,Japantown,9,658,95124
218401,11758,2014-03-18 14:56:00 UTC,Japantown,9,2014-03-18 18:12:00 UTC,Japantown,9,210,nil
1271030,6535,2016-07-10 17:58:00 UTC,Japantown,9,2016-07-10 19:47:00 UTC,Japantown,9,257,95050
19144,466,2013-09-12 14:53:00 UTC,MLK Library,11,2013-09-12 15:01:00 UTC,Japantown,9,686,95112
705740,790,2015-03-31 11:56:00 UTC,MLK Library,11,2015-03-31 12:09:00 UTC,Japantown,9,31,95109
499685,474,2014-10-15 10:22:00 UTC,MLK Library,11,2014-10-15 10:29:00 UTC,Japantown,9,710,95113
27466,466,2013-09-19 13:45:00 UTC,MLK Library,11,2013-09-19 13:53:00 UTC,Japantown,9,88,95112
288457,883,2014-05-17 20:28:00 UTC,MLK Library,11,2014-05-17 20:43:00 UTC,Japantown,9,79,95112
629758,443,2015-02-03 14:55:00 UTC,MLK Library,11,2015-02-03 15:02:00 UTC,Japantown,9,707,95113
550821,465,2014-11-19 10:30:00 UTC,MLK Library,11,2014-11-19 10:38:00 UTC,Japantown,9,12,95113
402338,430,2014-08-10 21:01:00 UTC,MLK Library,11,2014-08-10 21:08:00 UTC,Japantown,9,665,91803
741170,565,2015-04-26 08:03:00 UTC,MLK Library,11,2015-04-26 08:13:00 UTC,Japantown,9,108,94536
156246,712,2014-01-16 18:04:00 UTC,MLK Library,11,2014-01-16 18:16:00 UTC,Japantown,9,145,95112
222873,635,2014-03-21 14:15:00 UTC,MLK Library,11,2014-03-21 14:26:00 UTC,Japantown,9,701,95112
509993,1985,2014-10-22 09:37:00 UTC,MLK Library,11,2014-10-22 10:10:00 UTC,Japantown,9,301,95122
495778,3015,2014-10-13 11:16:00 UTC,MLK Library,11,2014-10-13 12:07:00 UTC,Japantown,9,205,95122
1245374,761,2016-06-18 12:21:00 UTC,MLK Library,11,2016-06-18 12:34:00 UTC,Japantown,9,252,95112
161195,394,2014-01-21 22:27:00 UTC,MLK Library,11,2014-01-21 22:33:00 UTC,Japantown,9,717,95112
417480,363,2014-08-20 18:24:00 UTC,MLK Library,11,2014-08-20 18:31:00 UTC,Japantown,9,708,95112
476131,459,2014-09-30 13:35:00 UTC,MLK Library,11,2014-09-30 13:43:00 UTC,Japantown,9,221,94551
627828,428,2015-02-02 11:45:00 UTC,MLK Library,11,2015-02-02 11:52:00 UTC,Japantown,9,296,95113
151953,669,2014-01-13 18:09:00 UTC,MLK Library,11,2014-01-13 18:20:00 UTC,Japantown,9,180,95112
947318,477,2015-09-26 18:33:00 UTC,MLK Library,11,2015-09-26 18:41:00 UTC,Japantown,9,685,75229
842528,1217,2015-07-11 14:03:00 UTC,MLK Library,11,2015-07-11 14:23:00 UTC,Japantown,9,144,nil
322575,476,2014-06-13 07:25:00 UTC,MLK Library,11,2014-06-13 07:33:00 UTC,Japantown,9,207,95112
526907,412,2014-11-03 13:16:00 UTC,MLK Library,11,2014-11-03 13:23:00 UTC,Japantown,9,694,95113
157310,422,2014-01-17 15:32:00 UTC,MLK Library,11,2014-01-17 15:39:00 UTC,Japantown,9,242,95112
180770,424,2014-02-11 11:54:00 UTC,MLK Library,11,2014-02-11 12:01:00 UTC,Japantown,9,710,94041
183648,746,2014-02-13 15:56:00 UTC,MLK Library,11,2014-02-13 16:08:00 UTC,Japantown,9,14,95112
887576,568,2015-08-12 20:49:00 UTC,MLK Library,11,2015-08-12 20:59:00 UTC,Japantown,9,648,95112
674566,831,2015-03-09 20:21:00 UTC,MLK Library,11,2015-03-09 20:35:00 UTC,Japantown,9,182,94555
1160425,518,2016-04-13 14:26:00 UTC,MLK Library,11,2016-04-13 14:34:00 UTC,Japantown,9,167,95112
1226881,923,2016-06-04 16:06:00 UTC,MLK Library,11,2016-06-04 16:21:00 UTC,Japantown,9,308,95112
66755,616,2013-10-21 16:28:00 UTC,MLK Library,11,2013-10-21 16:38:00 UTC,Japantown,9,232,95112
318496,1099,2014-06-10 14:45:00 UTC,MLK Library,11,2014-06-10 15:03:00 UTC,Japantown,9,37,nil
734700,426,2015-04-21 14:27:00 UTC,MLK Library,11,2015-04-21 14:34:00 UTC,Japantown,9,22,95113
55736,518,2013-10-12 16:51:00 UTC,MLK Library,11,2013-10-12 16:59:00 UTC,Japantown,9,67,95112
554490,491,2014-11-21 23:16:00 UTC,MLK Library,11,2014-11-21 23:25:00 UTC,Japantown,9,127,95112
8314,880,2013-09-01 17:49:00 UTC,MLK Library,11,2013-09-01 18:04:00 UTC,Japantown,9,653,7882
60548,505,2013-10-16 14:26:00 UTC,MLK Library,11,2013-10-16 14:34:00 UTC,Japantown,9,76,95112
132283,640,2013-12-20 14:41:00 UTC,MLK Library,11,2013-12-20 14:52:00 UTC,Japantown,9,20,97217
318502,787,2014-06-10 14:50:00 UTC,MLK Library,11,2014-06-10 15:03:00 UTC,Japantown,9,10,nil
692372,2487,2015-03-22 10:21:00 UTC,MLK Library,11,2015-03-22 11:02:00 UTC,Japantown,9,186,95124
1094410,623,2016-02-16 09:09:00 UTC,MLK Library,11,2016-02-16 09:20:00 UTC,Japantown,9,195,95112
1230136,883,2016-06-07 15:03:00 UTC,MLK Library,11,2016-06-07 15:18:00 UTC,Japantown,9,703,95112
6323,2868,2013-08-30 18:36:00 UTC,MLK Library,11,2013-08-30 19:24:00 UTC,Japantown,9,52,95112
325890,371,2014-06-16 10:05:00 UTC,MLK Library,11,2014-06-16 10:11:00 UTC,Japantown,9,45,95112
270707,1030,2014-05-03 17:40:00 UTC,MLK Library,11,2014-05-03 17:57:00 UTC,Japantown,9,154,nil
71363,446,2013-10-25 00:05:00 UTC,MLK Library,11,2013-10-25 00:12:00 UTC,Japantown,9,293,95112
270883,889,2014-05-04 10:08:00 UTC,MLK Library,11,2014-05-04 10:23:00 UTC,Japantown,9,644,90706
469609,456,2014-09-25 16:14:00 UTC,MLK Library,11,2014-09-25 16:22:00 UTC,Japantown,9,251,95112
33146,623,2013-09-24 14:59:00 UTC,MLK Library,11,2013-09-24 15:09:00 UTC,Japantown,9,663,95008
23995,487,2013-09-17 07:26:00 UTC,MLK Library,11,2013-09-17 07:34:00 UTC,Japantown,9,61,95112
556086,524,2014-11-24 10:22:00 UTC,MLK Library,11,2014-11-24 10:31:00 UTC,Japantown,9,210,95113
1200404,638,2016-05-13 16:03:00 UTC,MLK Library,11,2016-05-13 16:14:00 UTC,Japantown,9,712,95112
36693,362,2013-09-26 23:11:00 UTC,MLK Library,11,2013-09-26 23:17:00 UTC,Japantown,9,198,95112
375335,469,2014-07-22 19:28:00 UTC,MLK Library,11,2014-07-22 19:36:00 UTC,Japantown,9,703,95112
318500,932,2014-06-10 14:48:00 UTC,MLK Library,11,2014-06-10 15:03:00 UTC,Japantown,9,128,nil
270884,886,2014-05-04 10:08:00 UTC,MLK Library,11,2014-05-04 10:23:00 UTC,Japantown,9,713,90706
506277,1812,2014-10-20 09:16:00 UTC,MLK Library,11,2014-10-20 09:46:00 UTC,Japantown,9,107,95122
493733,961,2014-10-11 11:06:00 UTC,MLK Library,11,2014-10-11 11:22:00 UTC,Japantown,9,89,95122
1226882,920,2016-06-04 16:06:00 UTC,MLK Library,11,2016-06-04 16:22:00 UTC,Japantown,9,245,95112
856546,1050,2015-07-22 05:27:00 UTC,MLK Library,11,2015-07-22 05:45:00 UTC,Japantown,9,20,94104
620402,537,2015-01-27 14:52:00 UTC,MLK Library,11,2015-01-27 15:01:00 UTC,Japantown,9,159,95113
508632,472,2014-10-21 16:16:00 UTC,MLK Library,11,2014-10-21 16:24:00 UTC,Japantown,9,205,95113
425325,604,2014-08-26 15:43:00 UTC,MLK Library,11,2014-08-26 15:53:00 UTC,Japantown,9,57,95113
